variable_name,variable_value,variable_label
adalim,0,no
adalim,1,yes
amino,0,no
amino,1,yes
antibx,0,no
antibx,1,yes
antibx_oth,0,no
antibx_oth,1,yes
aza,0,no
aza,1,yes
azulf,0,no
azulf,1,yes
biol,0,no
biol,1,yes
bisphos,0,no
bisphos,1,yes
budes,0,no
budes,1,yes
calc,0,no
calc,1,yes
cipro,0,no
cipro,1,yes
cmz,0,no
cmz,1,yes
country_res,0,--- Please select a country ---
country_res,1,Andorra
country_res,2,United Arab Emirates
country_res,3,Afghanistan
country_res,4,Antigua and Barbuda
country_res,5,Anguilla
country_res,6,Albania
country_res,7,Armenia
country_res,8,Netherlands Antilles
country_res,9,Angola
country_res,10,Antarctica
country_res,11,Argentina
country_res,13,Austria
country_res,14,Australia
country_res,15,Aruba
country_res,16,&Aring;land Islands
country_res,17,Azerbaijan
country_res,18,Bosnia and Herzegovina
country_res,19,Barbados
country_res,20,Bangladesh
country_res,21,Belgium
country_res,22,Burkina Faso
country_res,23,Bulgaria
country_res,24,Bahrain
country_res,25,Burundi
country_res,26,Benin
country_res,27,Saint Barth&eacute;lemy
country_res,28,Bermuda
country_res,29,Brunei Darussalam
country_res,30,"Bolivia, Plurinational State of"
country_res,31,Brazil
country_res,32,Bahamas
country_res,33,Bhutan
country_res,34,Bouvet Island
country_res,35,Botswana
country_res,36,Belarus
country_res,37,Belize
country_res,38,Canada
country_res,39,Cocos (Keeling) Islands
country_res,40,"Congo, the Democratic Republic of the"
country_res,41,Central African Republic
country_res,42,Congo
country_res,43,Switzerland
country_res,44,C&ocirc;te dIvoire
country_res,45,Cook Islands
country_res,46,Chile
country_res,47,Cameroon
country_res,48,China
country_res,49,Colombia
country_res,50,Costa Rica
country_res,51,Cuba
country_res,52,Cape Verde
country_res,53,Christmas Island
country_res,54,Cyprus
country_res,55,Czech Republic
country_res,56,Germany
country_res,57,Djibouti
country_res,58,Denmark
country_res,59,Dominica
country_res,60,Dominican Republic
country_res,61,Algeria
country_res,62,Ecuador
country_res,63,Estonia
country_res,64,Egypt
country_res,65,Western Sahara
country_res,66,Eritrea
country_res,67,Spain
country_res,68,Ethiopia
country_res,69,Finland
country_res,70,Fiji
country_res,71,Falkland Islands (Malvinas)
country_res,72,"Micronesia, Federated States of"
country_res,73,Faroe Islands
country_res,74,France
country_res,75,Gabon
country_res,76,United Kingdom
country_res,77,Grenada
country_res,78,Georgia
country_res,79,French Guiana
country_res,80,Guernsey
country_res,81,Ghana
country_res,82,Gibraltar
country_res,83,Greenland
country_res,84,Gambia
country_res,85,Guinea
country_res,86,Guadeloupe
country_res,87,Equatorial Guinea
country_res,88,Greece
country_res,89,South Georgia and the South Sandwich Islands
country_res,90,Guatemala
country_res,92,Guinea-Bissau
country_res,93,Guyana
country_res,94,Hong Kong
country_res,95,Heard Island and McDonald Islands
country_res,96,Honduras
country_res,97,Croatia
country_res,98,Haiti
country_res,99,Hungary
country_res,100,Indonesia
country_res,101,Ireland
country_res,102,Israel
country_res,103,Isle of Man
country_res,104,India
country_res,105,British Indian Ocean Territory
country_res,106,Iraq
country_res,107,"Iran,  Islamic Republic of"
country_res,108,Iceland
country_res,109,Italy
country_res,110,Jersey
country_res,111,Jamaica
country_res,112,Jordan
country_res,113,Japan
country_res,114,Kenya
country_res,115,Kyrgyzstan
country_res,116,Cambodia
country_res,117,Kiribati
country_res,118,Comoros
country_res,119,Saint Kitts and Nevis
country_res,120,"Korea,  Democratic Peoples Republic of"
country_res,121,"Korea, Republic of"
country_res,122,Kuwait
country_res,123,Cayman Islands
country_res,124,Kazakhstan
country_res,125,Lao Peoples Democratic Republic
country_res,126,Lebanon
country_res,127,Saint Lucia
country_res,128,Liechtenstein
country_res,129,Sri Lanka
country_res,130,Liberia
country_res,131,Lesotho
country_res,132,Lithuania
country_res,133,Luxembourg
country_res,134,Latvia
country_res,135,Libyan Arab Jamahiriya
country_res,136,Morocco
country_res,137,Monaco
country_res,138,"Moldova,  Republic of"
country_res,139,Montenegro
country_res,140,Saint Martin (French part)
country_res,141,Madagascar
country_res,142,Marshall Islands
country_res,143,"Macedonia,  the former Yugoslav Republic of"
country_res,144,Mali
country_res,145,Myanmar
country_res,146,Mongolia
country_res,147,Macao
country_res,148,Northern Mariana Islands
country_res,149,Martinique
country_res,150,Mauritania
country_res,151,Montserrat
country_res,152,Malta
country_res,153,Mauritius
country_res,154,Maldives
country_res,155,Malawi
country_res,156,Mexico
country_res,157,Malaysia
country_res,158,Mozambique
country_res,159,Namibia
country_res,160,New Caledonia
country_res,161,Niger
country_res,162,Norfolk Island
country_res,163,Nigeria
country_res,164,Nicaragua
country_res,165,Netherlands
country_res,166,Norway
country_res,167,Nepal
country_res,168,Nauru
country_res,169,Niue
country_res,170,New Zealand
country_res,171,Oman
country_res,172,Panama
country_res,173,Peru
country_res,174,French Polynesia
country_res,175,Papua New Guinea
country_res,176,Philippines
country_res,177,Pakistan
country_res,178,Poland
country_res,179,Saint Pierre and Miquelon
country_res,180,Pitcairn
country_res,182,"Palestinian Territory,  Occupied"
country_res,183,Portugal
country_res,184,Palau
country_res,185,Paraguay
country_res,186,Qatar
country_res,187,R&eacute; union
country_res,188,Romania
country_res,189,Serbia
country_res,190,Russian Federation
country_res,191,Rwanda
country_res,192,Saudi Arabia
country_res,193,Solomon Islands
country_res,194,Seychelles
country_res,195,Sudan
country_res,196,Sweden
country_res,197,Singapore
country_res,198,"Saint Helena,  Ascension and Tristan da Cunha"
country_res,199,Slovenia
country_res,200,Svalbard and Jan Mayen
country_res,201,Slovakia
country_res,202,Sierra Leone
country_res,203,San Marino
country_res,204,Senegal
country_res,205,Somalia
country_res,206,Suriname
country_res,207,Sao Tome and Principe
country_res,208,El Salvador
country_res,209,Syrian Arab Republic
country_res,210,Swaziland
country_res,211,Turks and Caicos Islands
country_res,212,Chad
country_res,213,French Southern Territories
country_res,214,Togo
country_res,215,Thailand
country_res,216,Tajikistan
country_res,217,Tokelau
country_res,218,Timor-Leste
country_res,219,Turkmenistan
country_res,220,Tunisia
country_res,221,Tonga
country_res,222,Turkey
country_res,223,Trinidad and Tobago
country_res,224,Tuvalu
country_res,225,"Taiwan, Province of China"
country_res,226,"Tanzania, United Republic of"
country_res,227,Ukraine
country_res,228,Uganda
country_res,231,Uruguay
country_res,232,Uzbekistan
country_res,233,Holy See (Vatican City State)
country_res,234,Saint Vincent and the Grenadines
country_res,235,"Venezuela, Bolivarian Republic of"
country_res,236,"Virgin Islands, British"
country_res,238,Vietnam
country_res,239,Vanuatu
country_res,240,Wallis and Futuna
country_res,241,Samoa
country_res,242,Yemen
country_res,243,Mayotte
country_res,244,South Africa
country_res,245,Zambia
country_res,246,Zimbabwe
country_res,999,--- Not in this country list ---
currsurg,0,no
currsurg,1,yes
cyclosp,0,no
cyclosp,1,yes
education,1,Less than 12th grade
education,2,12th grade
education,3,Some college
education,4,College
education,5,Graduate school
fiveasa_oral,0,no
fiveasa_oral,1,yes
fiveasa_rect,0,no
fiveasa_rect,1,yes
flagyl,0,no
flagyl,1,yes
gi_doc,1,yes
gi_doc,2,no
gi_doc,3,don't know
gi_pastyear,1,Never
gi_pastyear,2,1 or 2 times
gi_pastyear,3,3 or 4 times
gi_pastyear,4,5 or more times
gi_pastyear,5,Dont know
gi_setting,1,University-academic
gi_setting,2,Private practice
gi_setting,3,VA
gi_setting,4,Other
gi_setting,5,Dont know
golim,0,no
golim,1,yes
hisp,1,yes
hisp,2,no
hosp_pastyr,1,yes
hosp_pastyr,2,no
hosp_pastyr,3,don't know
hxhosp,0,no
hxhosp,1,yes
hxsurg,0,no
